kiván magának	vmit  s. wünschen
időt eltölteni	Zeit verbringen
Oscar-kiosztás	e Oscar-verleihung
származás	Herkunft
kor	Alter
repülő	Flugzeug
Mitől jó vmi?	Was macht etwas gut?
tartozni vmihez	gehören zu + D
vkié	jemanden
jelenleg	zurzeit
legalább	mindestens einmal
osztrák	österreicher
poggyász	s Gepäck
megtudni vmit vmiről	erfahren über + A
iPhone-on	auf dem iPhone
ülőszomszéd	Sitznachbarn
tulajdonos	Besitzer
birtokolni	besitzen
lakhely	Wohnort
hold	r Mond
szogáltatás	e Dienstleistung/r Service
feltétlenül	unbedingt
elnök	r Präsident
születésű	gebürtige
